---|---|\| |Approach| (A)|\| |Approach| (B)|\| |Approach|(C)|\| 
---|---|---|---|---|---|---|---|---|---|---|---
%|Phase|\| |%<br> Const. Costs|Not-To-Exceed|\| |%<br> Const. Costs|Not-To-Exceed|\| |%<br> Const. Costs|Not-To-Exceed|\| 
5.00%|**Phase 1:** <br>Programming|\| |0.40%|$2,000|\| |0.48%|$2,375|\| |0.55%|$2,750|\| 
10.00%|**Phase 2:**<br>Schematic Design|\| |0.80%|$4,000|\| |0.95%|$4,750|\| |1.10%|$5,500|\| 
25.00%|**Phase 3:**<br>Design Development|\| |2.00%|$10,000|\| |2.38%|$11,875|\| |2.75%|$13,750|\| 
35.00%|**Phase 4:**<br>Construction Documents|\| |2.80%|$14,000|\| |3.33%|$16,625|\| |3.85%|$19,250|\| 
5.00%|**Phase 5:**<br>Bidding & <br>Contract Negotiation|\| |0.40%|$2,000|\| |0.48%|$2,375|\| |0.55%|$2,750|\| 
20.00%|**Phase 6:**<br>Construction Administration|\| |1.60%|$8,000|\| |1.90%|$9,500|\| |2.20%|$11,000|\| 
|||||||||||
**100%**|**All Phases**|\| |8.00%|$40,000|\| |9.50%|$47,500|\| |11.00%|$55,000|\| 
|||||||||||
|Assuming a Construction Cost = ||$500,000||||||||
